Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Yakir Gabay,4.4,Cyprus,real estate,655,55,"London, United Kingdom",Cyprus,,,,TRUE
Erman Ilicak,4.4,Turkey,construction,655,53,"Ankara, Turkey",Turkey,Married,3,,TRUE
Gustav Magnar Witzoe,4.4,Norway,fish farming,655,28,"Kverva, Norway",Norway,Single,,,FALSE
Michael Minhong Yu,4.4,China,education,655,59,"Beijing, China",China,Married,2,"Bachelor of Arts/Science, Peking University",TRUE
Zhang Daocai,4.4,China,valves,655,71,"Shaoxing, China",China,,,,TRUE
Stéphane Bancel,4.3,France,biotech,665,48,"Boston, Massachusetts",France,,,"Master of Science in Engineering, Ecole Centrale Paris; Master of Business Administration, Harvard University; Master of Science in Engineering, University of Minnesota",TRUE
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,"Montabaur, Germany",Germany,Married,1,,TRUE
Thomas Hagen,4.3,United States,insurance,665,85,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",FALSE
Pansy Ho,4.3,Hong Kong,casinos,665,58,"Hong Kong, Hong Kong",Hong Kong,Divorced,,"Bachelor of Arts/Science, University of Santa Clara",FALSE
Rakesh Jhunjhunwala,4.3,India,investments,665,60,"Mumbai, India",India,Married,3,"B.Com, Bombay University; Chartered Accountant, The Institute of Chartered Accountants of India",TRUE
Lee Yin Yee,4.3,China,glass,665,69,"Hong Kong, Hong Kong",China,,,,TRUE
Eric Lefkofsky,4.3,United States,Groupon,665,51,"Glencoe, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",TRUE
Edwin Leong,4.3,Hong Kong,real estate,665,69,"Hong Kong, Hong Kong",Hong Kong,Married,1,,TRUE
Pawan Munjal & family,4.3,India,motorcycles,665,67,"Delhi, India",India,Married,3,,FALSE
Antony Ressler,4.3,United States,finance,665,59,"Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",TRUE
Paul Singer,4.3,United States,hedge funds,665,76,"New York, New York",United States,In Relationship,,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester",TRUE
Kerry Stokes,4.3,Australia,"construction equipment, media",665,80,"Perth, Australia",Australia,Married,4,,TRUE
Steven Udvar-Hazy,4.3,United States,aircraft leasing,665,75,"Beverly Hills, California",United States,Married,4,"Bachelor of Arts/Science, University of California, Los Angeles",TRUE
Takao Yasuda,4.3,Japan,retail,665,72,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University",TRUE
Ye Chenghai & family,4.3,Hong Kong,pharmaceuticals,665,77,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Arts/Science, Renmin University of China",TRUE
Alain Bouchard,4.2,Canada,retail,680,72,"Montreal, Canada",Canada,Married,4,,TRUE
Rick Caruso,4.2,United States,real estate,680,62,"Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",TRUE
Scott Cook,4.2,United States,software,680,68,"Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California",TRUE
Barry Diller,4.2,United States,online media,680,79,"New York, New York",United States,Married,,"Drop Out, University of California, Los Angeles",TRUE
Traudl Engelhorn & family,4.2,Germany,"pharmaceuticals, medical equipment",680,94,"Lucerne, Switzerland",Germany,Widowed,4,,FALSE
Fang Wei,4.2,China,steel,680,47,"Beijing, China",China,Married,,,TRUE
Fu Liquan & family,4.2,China,surveillance equipment,680,53,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University",TRUE
Luca Garavoglia,4.2,Italy,spirits,680,52,"Milan, Italy",Italy,,,"Bachelor of Commerce, Bocconi University",FALSE
Tom Golisano,4.2,United States,payroll services,680,79,"Naples, Florida",United States,Married,2,"Associate in Arts/Science, SUNY Tech Alfred",TRUE
Peter Hargreaves,4.2,United Kingdom,financial services,680,74,"Bristol, United Kingdom",United Kingdom,Married,2,,TRUE
Bertil Hult,4.2,Sweden,education,680,80,"Lucerne, Switzerland",Sweden,Married,4,,TRUE
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Southern Methodist University",FALSE
James Irving,4.2,Canada,diversified,680,93,"Saint John, Canada",Canada,Married,4,,FALSE
Martin Lau,4.2,Hong Kong,e-commerce,680,48,"Hong Kong, Hong Kong",Hong Kong,,,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan",TRUE
Li Li,4.2,China,healthcare,680,57,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",TRUE
Liu Fangyi,4.2,China,medical equipment,680,,"Shanghai, China",China,,,,TRUE
Luo Liguo & family,4.2,China,chemicals,680,65,"Ningbo, China",China,Married,,,TRUE
Pan Laican,4.2,China,soy sauce,680,,"foshan, China",China,,,,TRUE
Juan Roig,4.2,Spain,supermarkets,680,71,"Valencia, Spain",Spain,Married,4,,FALSE
Leonard Stern,4.2,United States,real estate,680,83,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",FALSE
Thomas Straumann,4.2,Switzerland,dental implants,680,57,"Basel, Switzerland",Switzerland,,,,FALSE
Wang Yanqing & family,4.2,China,electrical equipment,680,55,"Wuxi, China",China,Married,,,TRUE
Ken Xie,4.2,United States,cybersecurity,680,58,"Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",TRUE
Xue Hua,4.2,China,agribusiness,680,,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Huazhong Agricultural University",TRUE
Steven Meng Yang & family,4.2,China,electronics,680,39,"Changsha, China",China,Married,,"Bachelor of Arts/Science, Peking University; Masters of Science in Technology, The University of Texas, Austin",TRUE
Margot Birmingham Perot,4.1,United States,"computer services, real estate",705,87,"Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",FALSE
David Bonderman,4.1,United States,private equity,705,78,"Fort Worth, Texas",United States,Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington",TRUE
Matthew Calkins,4.1,United States,software,705,48,"Rosslyn, Virginia",United States,Divorced,2,"Bachelor of Arts/Economics, Dartmouth College",TRUE
Cho Tak Wong,4.1,Hong Kong,auto parts,705,74,"Fuqing, China",Hong Kong,Married,3,,TRUE
Piero Ferrari,4.1,Italy,automobiles,705,75,"Modena, Italy",Italy,Divorced,1,,FALSE
Dan Friedkin,4.1,United States,Toyota dealerships,705,56,"Houston, Texas",United States,Married,4,"Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University",FALSE
Laurence Graff & family,4.1,United Kingdom,diamond jewelry,705,82,"Gstaad, Switzerland",United Kingdom,Divorced,5,,TRUE
Martin Haefner,4.1,Switzerland,"software, investments",705,67,"Zurich, Switzerland",Switzerland,Married,,,FALSE
Hong Ra-hee,4.1,South Korea,Samsung,705,75,"Seoul, South Korea",South Korea,Widowed,3,"Bachelor of Arts/Science, Seoul National University",FALSE
Ji Qi,4.1,China,"hotels, motels",705,54,"Shanghai, China",China,,,,TRUE
"Rupert Johnson, Jr.",4.1,United States,money management,705,80,"Burlingame, California",United States,Married,,"Bachelor of Arts/Science, Washington & Lee University",FALSE
Daniel Kretinsky,4.1,Czechia,"energy, investments",705,45,"Prague, Czechia",Czechia,In Relationship,1,"Law Degree, Masaryk University",TRUE
William Lauder,4.1,United States,Estee Lauder,705,61,"New York, New York",United States,Divorced,,,FALSE
Janice McNair,4.1,United States,"energy, sports",705,84,"Houston, Texas",United States,Widowed,4,"Bachelor of Arts/Science, Columbia College",FALSE
John Morris,4.1,United States,sporting goods retail,705,73,"Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",TRUE
Gabe Newell,4.1,United States,videogames,705,58,"Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University",TRUE
Katharina Otto-Bernstein,4.1,Germany,real estate,705,57,"New York, New York",Germany,Married,2,,FALSE
Julio Ponce Lerou,4.1,Chile,fertilizer,705,75,"Santiago, Chile",Chile,Divorced,1,,TRUE
Jon Stryker,4.1,United States,medical equipment,705,63,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley",FALSE
Suh Kyung-bae,4.1,South Korea,cosmetics,705,58,"Seoul, South Korea",South Korea,Married,2,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Yonsei University",FALSE
Xu Jingren,4.1,China,pharmaceuticals,705,76,"Taizhou, China",China,Married,2,,TRUE
Samuel Yin,4.1,Taiwan,retail,705,70,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Ph.D, National Chengchi University; Master of Business Administration, National Taiwan University",FALSE
Walter P.J. Droege,4,Germany,investing,727,68,"Dusseldorf, Germany",Germany,Married,,,TRUE
Du Jiangtao & family,4,China,chemicals,727,51,"Beijing, China",China,Married,,"Master of Arts, Beijing Institute of Technology",TRUE
Vinod & Anil Rai Gupta,4,India,electrical equipment,727,,"Delhi, India",India,,,,FALSE
Masatoshi Ito,4,Japan,retail,727,97,"Tokyo, Japan",Japan,Married,3,,TRUE
Igor Kesaev,4,Russia,"tobacco distribution, retail",727,54,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Moscow Institute of International Relations",TRUE
Koon Poh Keong,4,Malaysia,aluminum,727,60,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma",TRUE
Paul Xiaoming Lee & family,4,United States,packaging,727,63,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts",TRUE
Li Xiang,4,China,electric vehicles,727,39,"Beijing, China",China,,,,TRUE
Melissa Ma,4,China,internet search,727,,"Beijing, China",China,Married,,,TRUE
Kiran Mazumdar-Shaw,4,India,biopharmaceuticals,727,68,"Bangalore, India",India,Married,,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",TRUE
Gwendolyn Sontheim Meyer,4,United States,Cargill,727,59,"Rancho Santa Fe, California",United States,Divorced,2,,FALSE
Akira Mori & family,4,Japan,real estate,727,84,"Tokyo, Japan",Japan,Married,3,,FALSE
Georg Nemetschek & family,4,Germany,software,727,87,"Munich, Germany",Germany,Widowed,2,,TRUE
Masahiro Noda,4,Japan,software,727,82,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Economics, Kansai University",TRUE
Ajay Piramal,4,India,pharmaceuticals,727,65,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University; Master of Business Administration, Bombay University",FALSE
Qiu Guanghe & family,4,China,fashion retail,727,69,"Wenzhou, China",China,Married,2,,TRUE
Trevor Rees-Jones,4,United States,oil & gas,727,69,"Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",TRUE
Ira Rennert,4,United States,investments,727,86,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business",TRUE
Marc Rowan,4,United States,private equity,727,58,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Ugur Sahin,4,Germany,biotechnology,727,55,"Mainz, Germany",Germany,Married,,,TRUE
Michal Solowow,4,Poland,investments,727,58,"Kielce, Poland",Poland,Married,3,,TRUE
Udo & Harald Tschira,4,Germany,software,727,,Germany,Germany,,,,FALSE
Wu Jianshu,4,Hong Kong,auto parts,727,57,"Ningbo, China",Hong Kong,,,,TRUE
Ye Xiaoping,4,China,pharmaceuticals,727,58,"Hangzhou, China",China,,,"Ph.D, Oxford University",TRUE
Zhou Hongyi,4,China,security software,727,50,"Beijing, China",China,Married,,"Master of Science, Xi'an Jiaotong University",TRUE
Che Jianxing,3.9,China,furniture retailing,752,54,"Shanghai, China",China,Married,,,TRUE
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82,Bermuda,Colombia,Widowed,2,,FALSE
Rafael Del Pino,3.9,Spain,construction,752,62,"Madrid, Spain",Spain,Divorced,6,"Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid",FALSE
Du Weimin,3.9,China,vaccines,752,57,"Shenzhen, China",China,Married,,"Master of Business Administration, Jinan University",TRUE
Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Paul Gauselmann & family,3.9,Germany,gambling,752,86,"Espelkamp, Germany",Germany,Married,4,,TRUE
Jeff Greene,3.9,United States,"real estate, investments",752,66,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",TRUE
Johnelle Hunt,3.9,United States,trucking,752,89,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",TRUE
Jin Baofang,3.9,China,solar energy,752,68,"Xingtai, China",China,Married,,"Associate in Arts/Science, Hebei Broadcast and Television University",TRUE
Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73,"Kuala Lumpur, Malaysia",Malaysia,Married,3,,TRUE
"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65,"Greenwich, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",TRUE
Gilles Martin,3.9,France,laboratory services,752,57,"Nantes, France",France,Married,,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",TRUE
Masahiro Miki,3.9,Japan,shoes,752,65,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University",TRUE
Dan Olsson,3.9,Sweden,diversified,752,74,"Gothenburg, Sweden",Sweden,Married,,,FALSE
Robert Rowling,3.9,United States,"hotels, investments",752,67,"Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",FALSE
Erik Selin,3.9,Sweden,real estate,752,53,"Göteborg, Sweden",Sweden,Divorced,,,TRUE
Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,FALSE
Ben Silbermann,3.9,United States,Pinterest,752,38,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Yale University",TRUE
Maximilian Viessmann,3.9,Germany,heating and cooling equipment,752,,,Germany,,,,FALSE
Wang Linpeng,3.9,China,furniture retailing,752,53,"Beijing, China",China,,,,TRUE
Wu Zhigang & family,3.9,China,bakery chain,752,86,"Shenyang, China",China,Married,3,,TRUE
Yi Zheng,3.9,China,software,752,50,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang University",TRUE
Zhang Wenzhong,3.9,China,supermarkets,752,59,"Beijing, China",China,,,,TRUE
Euisun Chung,3.8,South Korea,Hyundai,775,50,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of San Francisco",FALSE
Daniel D'Aniello,3.8,United States,private equity,775,74,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University",TRUE
Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,"Moscow, Russia",Russia,Divorced,2,"Bachelor of Arts/Science, Moscow State University",TRUE
Sergey Dmitriev,3.8,Russia,computer software,775,55,"Prague, Czechia",Russia,,,"Master of Science, Saint Petersburg State University",TRUE
Feng Hailiang,3.8,China,"copper, education",775,60,"Zhuji, China",China,Married,2,"Master of Business Administration, Zhejiang University",TRUE
John Gandel,3.8,Australia,shopping malls,775,86,"Melbourne, Australia",Australia,Married,4,"Doctorate, Monash University",FALSE
Gao Dekang & family,3.8,China,apparel,775,69,"Changshu, China",China,Married,3,"EMBA, Phoenix International University",TRUE
Jaime Gilinski Bacal,3.8,Colombia,banking,775,63,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School",FALSE
Sergei Gordeev,3.8,Russia,real estate,775,48,"Moscow, Russia",Russia,Single,,"Bachelor of Arts/Science, Togliatti Academy of Management",TRUE
Jeff Green,3.8,United States,online advertising,775,44,"Newbury Park, California",United States,,,,TRUE
"Amos Hostetter, Jr.",3.8,United States,cable television,775,84,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",TRUE
Kuok Khoon Hong,3.8,Singapore,palm oil,775,71,"Singapore, Singapore",Singapore,Married,4,,FALSE
Lai Jianping,3.8,China,soy sauce,775,,"Foshan, China",China,,,,TRUE
Aerin Lauder,3.8,United States,cosmetics,775,51,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",FALSE
Hans Georg Naeder,3.8,Germany,prosthetics,775,59,"Duderstadt, Germany",Germany,Divorced,2,,FALSE
Maren Otto,3.8,Germany,"retail, real estate",775,,"Berlin, Germany",Germany,Widowed,,,FALSE
Clive Palmer,3.8,Australia,mining,775,67,"Brisbane, Australia",Australia,Married,3,,TRUE
Karsanbhai Patel,3.8,India,consumer goods,775,77,"Ahmedabad, India",India,Married,3,,TRUE
Qiu Jianping & family,3.8,China,hand tools,775,59,"Hangzhou, China",China,Married,,"Master of Science, Xi'an Jiaotong University",TRUE
Wolfgang Reimann,3.8,Germany,consumer goods,775,68,"Passau, Germany",Germany,,,,FALSE
Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56,"Munich, Germany",Germany,,,,FALSE
Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57,"Vienna, Austria",Germany,,,,FALSE
Renate Reimann-Haas,3.8,Germany,consumer goods,775,69,"Vienna, Austria",Germany,,,,FALSE
Dirk Rossmann & family,3.8,Germany,drugstores,775,74,"Lower-Saxony, Germany",Germany,Married,2,,TRUE
Shaul Shani,3.8,Israel,telecom,775,66,Italy,Israel,,,,TRUE
Song Fei,3.8,China,machinery,775,54,"Yantai, China",China,Married,,,TRUE
Donald Sterling,3.8,United States,real estate,775,87,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",TRUE
Ivar Tollefsen,3.8,Norway,real estate,775,59,"Oslo, Norway",Norway,,,,TRUE
Don Vultaggio & family,3.8,United States,beverages,775,69,"Port Washington, New York",United States,Married,2,"High School Graduate, High School",TRUE
Nusli Wadia,3.8,India,consumer goods,775,77,"Mumbai, India",India,Married,2,,FALSE
Zhang Jin,3.8,China,commodities,775,49,"Guangzhou, China",China,,,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",TRUE
Zhu Gongshan,3.8,China,solar panel materials,775,63,"Shanghai, China",China,Married,2,,TRUE
Peter Gilgan,3.7,Canada,homebuilding,807,70,"Oakville, Canada",Canada,Married,8,,TRUE
Marian Ilitch,3.7,United States,Little Caesars,807,88,"Bingham Farms, Michigan",United States,Widowed,7,"Diploma, High School; High School Graduate, High School",TRUE
Kong Jian Min,3.7,China,real estate,807,53,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Jinan University",TRUE
Li Liangbin,3.7,China,lithium,807,53,"Xinyu, China",China,,,,TRUE
Li Yongxin & family,3.7,China,education,807,45,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Peking University",TRUE
Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona",FALSE
Michael Milken,3.7,United States,investments,807,74,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Ronald Perelman,3.7,United States,leveraged buyouts,807,78,"New York, New York",United States,Married,8,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74,"Fortaleza, Brazil",Brazil,Married,2,,TRUE
J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University",TRUE
Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,,"Buenos Aires, Argentina",Italy,,,"Certificate, Harvard Business School",FALSE
Jeff Rothschild,3.7,United States,Facebook,807,66,"Palo Alto, California",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University",TRUE
David Rubenstein,3.7,United States,private equity,807,71,"Bethesda, Maryland",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago",TRUE
Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,auto parts,807,79,"Herzogenaurach, Germany",Germany,Married,,,FALSE
Steven Spielberg,3.7,United States,movies,807,74,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",TRUE
Barry Sternlicht,3.7,United States,private equity,807,60,"Miami, Florida",United States,Married,3,"Bachelor of Arts/Science, Brown University",TRUE
Mark Stevens,3.7,United States,venture capital,807,61,"Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",TRUE
David Steward,3.7,United States,IT provider,807,69,"St. Louis, Missouri",United States,Married,,"Bachelor of Arts/Science, Central Missouri State University",TRUE
Vincent Viola,3.7,United States,electronic trading,807,65,"New York, New York",United States,Married,3,"Doctor of Jurisprudence, New York Law School; Bachelor of Arts/Science, United States Military Academy",TRUE
Todd Wanek,3.7,United States,furniture,807,57,"St. Petersburg, Florida",United States,Married,2,,FALSE
Wang Roger,3.7,United States,retail,807,72,"Nanjing, China",United States,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University",TRUE
Russ Weiner,3.7,United States,energy drinks,807,51,"Delray Beach, Florida",United States,Single,,"Bachelor of Arts/Science, San Diego State University",TRUE
Herbert Wertheim,3.7,United States,investments,807,81,"Coral Gables, Florida",United States,Married,,"Associate in Arts/Science, Brevard Community College; Doctorate, Southern College of Optometry",TRUE
Xu Shugen,3.7,China,"construction, mining machinery",807,55,"Hangzhou, China",China,,,,TRUE
Anil Agarwal & family,3.6,India,"mining, metals",831,67,"London, United Kingdom",India,Married,2,,TRUE
Majid Al Futtaim & family,3.6,United Arab Emirates,"real estate, retail",831,,"Dubai, United Arab Emirates",United Arab Emirates,Married,,,FALSE
Leonid Boguslavsky,3.6,Russia,venture capital,831,69,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute for Transport Engineering",TRUE
"Austen Cargill, II.",3.6,United States,Cargill,831,70,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",FALSE
"James Cargill, II.",3.6,United States,Cargill,831,72,"Birchwood, Wisconsin",United States,Married,2,,FALSE
Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51,"Hong Kong, Hong Kong",Hong Kong,Married,,,TRUE
Steve Conine,3.6,United States,online retail,831,48,"Boston, Massachusetts",United States,Married,3,"Bachelor of Science in Engineering, Cornell University",TRUE
Hu Kaijun,3.6,China,pharmaceuticals,831,59,"Beijing, China",China,,,,TRUE
S. Curtis Johnson,3.6,United States,cleaning products,831,66,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",FALSE
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",FALSE
Daryl Katz,3.6,Canada,pharmacies,831,59,"Edmonton, Canada",Canada,Married,2,"Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta",TRUE
Peter Kellogg,3.6,United States,investments,831,78,"Short Hills, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Babson College",FALSE
Samuel Tak Lee,3.6,Hong Kong,real estate,831,82,"Hong Kong, Hong Kong",Hong Kong,Married,7,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",FALSE
Li Hongxin & family,3.6,China,paper & related products,831,68,"Yanzhou, China",China,Married,3,,TRUE
Marianne Liebmann,3.6,United States,Cargill,831,67,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University",FALSE
Winifred J. Marquart,3.6,United States,cleaning products,831,62,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",FALSE
Daniel Och,3.6,United States,hedge funds,831,60,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",TRUE
Anthony Pritzker,3.6,United States,"hotels, investments",831,60,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College",FALSE
Rodger Riney & family,3.6,United States,discount brokerage,831,75,"St. Louis, Missouri",United States,Married,3,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri",TRUE
Niraj Shah,3.6,United States,online retail,831,47,"Boston, Massachusetts",United States,Married,2,"Bachelor of Science in Engineering, Cornell University",TRUE
Lynsi Snyder,3.6,United States,In-N-Out Burger,831,39,"Glendora, California",United States,Married,,,FALSE
Jerzy Starak,3.6,Poland,pharmaceuticals,831,73,"Konstancin, Poland",Poland,Married,3,,TRUE
Michael Tojner,3.6,Austria,"batteries, investments",831,55,"Vienna, Austria",Austria,,,"Master of Business Administration, University of Vienna; Master of Laws, University of Vienna",TRUE
Richard Tsai,3.6,Taiwan,finance,831,63,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University",FALSE
Ty Warner,3.6,United States,"real estate, plush toys",831,76,"Oak Brook, Illinois",United States,Single,,"Drop Out, Kalamazoo College",TRUE
Yang Shaopeng,3.6,China,shipping,831,63,"Qingdao, China",China,,,,TRUE
Yuan Liping,3.6,Canada,pharmaceuticals,831,50,"Shenzhen, China",Canada,Divorced,,,FALSE
Zhang Hongwei,3.6,China,"oil, banking",831,66,"Beijing, China",China,Married,3,"Bachelor of Arts/Science, Harbin Engineering University; Master of Science, Harbin Institute of Technology",TRUE
Andrej Babis,3.5,Czechia,agriculture,859,66,"Prague, Czechia",Czechia,Married,4,"Master, University of Economics in Bratislava (UEB)",TRUE
Shyam & Hari Bhartia,3.5,India,diversified,859,68,"Delhi, India",India,Married,2,,FALSE
Hubert Burda,3.5,Germany,publishing,859,81,"Munich, Germany",Germany,Married,2,"Bachelor of Arts/Science, Ludwig Maxmilian University",FALSE
Chuchat Petaumpai & Daonapa Petampai,3.5,Thailand,motorcycle loans,859,67,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Oklahoma State University",TRUE
Charles Cohen,3.5,United States,real estate,859,69,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University",FALSE
David Filo,3.5,United States,Yahoo,859,55,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University",TRUE
Sergei Galitsky,3.5,Russia,retail,859,53,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",TRUE
Alessandra Garavoglia,3.5,Italy,spirits,859,61,"Milan, Italy",Italy,,,"Bachelor of Social Sciences, University of Milan",FALSE
